State,Most Available Model,Number of Listings ,Region
AK,Pathfinder,36,Far West
 AL,Altima,380,Southeast
 AR,Altima,167,Southeast
 AZ,Altima,451,Southwest
 CA,Altima,1513,Far West
 CO,Rogue,337,Rocky Mountain
 CT,Altima,239,New England
 DC,Altima,2,Mideast
 DE,Rogue,51,Mideast
 FL,Altima,1535,Southeast
 GA,Altima,907,Southeast
 HI,Versa,159,Far West
 IA,Rogue,65,Midwest
 ID,Altima,47,Rocky Mountain
 IL,Altima,714,Great Lakes
 IN,Rogue,219,Great Lakes
 KS,Altima,157,Midwest
 KY,Altima,284,Southeast
 LA,Altima,300,Southeast
 MA,Rogue,357,New England
 MD,Altima,466,Mideast
 ME,Rogue,28,New England
 MI,Altima,67,Great Lakes
 MN,Altima,131,Midwest
 MO,Altima,266,Midwest
 MS,Altima,151,Southeast
 MT,Altima,23,Rocky Mountain
 NC,Altima,807,Southeast
 ND,Rogue,16,Midwest
 NE,Rogue,79,Midwest
 NH,Altima,86,New England
 NJ,Altima,546,Mideast
 NM,Altima,90,Southwest
 NV,Altima/Versa,116,Far West
 NY,Altima,607,Mideast
 OH,Altima,349,Great Lakes
 OK,Altima,151,Southwest
 OR,Altima,86,Far West
 PA,Rogue,428,Mideast
 RI,Altima,48,New England
 SC,Altima,205,Southeast
 SD,Rogue,6,Midwest
 TN,Altima,474,Southeast
 TX,Altima,1651,Southwest
 UT,Altima,144,Rocky Mountain
 VA,Altima,833,Southeast
 VT,Altima,9,New England
 WA,Altima,240,Far West
 WI,Altima,144,Great Lakes
 WV,Rogue,14,Southeast
 WY,Altima,13,Rocky Mountain
